Date,Open,High,Low,Close
06/14/1993,2885.46,2885.46,2885.46,2885.46
06/15/1993,2870.03,2870.03,2870.03,2870.03
06/16/1993,2882.96,2882.96,2882.96,2882.96
06/17/1993,2875.72,2875.72,2875.72,2875.72
06/18/1993,2879.45,2879.45,2879.45,2879.45
06/21/1993,2903.41,2903.41,2903.41,2903.41
06/22/1993,2907.6,2907.6,2907.6,2907.6
06/23/1993,2900.68,2900.68,2900.68,2900.68
06/24/1993,2894.75,2894.75,2894.75,2894.75
06/25/1993,2887.46,2887.46,2887.46,2887.46
06/28/1993,2896.96,2896.96,2896.96,2896.96
06/29/1993,2886.02,2886.02,2886.02,2886.02
06/30/1993,2899.95,2899.95,2899.95,2899.95
07/01/1993,2888.78,2888.78,2888.78,2888.78
07/02/1993,2857.67,2857.67,2857.67,2857.67
07/05/1993,2838.49,2838.49,2838.49,2838.49
07/06/1993,2848.05,2848.05,2848.05,2848.05
07/07/1993,2848.28,2848.28,2848.28,2848.28
07/08/1993,2845.93,2845.93,2845.93,2845.93
07/09/1993,2843.15,2843.15,2843.15,2843.15
07/12/1993,2830.92,2830.92,2830.92,2830.92
07/13/1993,2837.08,2837.08,2837.08,2837.08
07/14/1993,2832.31,2832.31,2832.31,2832.31
07/15/1993,2831.65,2831.65,2831.65,2831.65
07/16/1993,2832.97,2832.97,2832.97,2832.97
07/19/1993,2842.94,2842.94,2842.94,2842.94
07/20/1993,2823.9,2823.9,2823.9,2823.9
07/21/1993,2814.12,2814.12,2814.12,2814.12
07/22/1993,2820.08,2820.08,2820.08,2820.08
07/23/1993,2827.67,2827.67,2827.67,2827.67
07/26/1993,2844.17,2844.17,2844.17,2844.17
07/27/1993,2879.43,2879.43,2879.43,2879.43
07/28/1993,2884.23,2884.23,2884.23,2884.23
07/29/1993,2917.61,2917.61,2917.61,2917.61
07/30/1993,2926.46,2926.46,2926.46,2926.46
08/02/1993,2941.72,2941.72,2941.72,2941.72
08/03/1993,2945.02,2945.02,2945.02,2945.02
08/04/1993,2941.31,2941.31,2941.31,2941.31
08/05/1993,2943.45,2943.45,2943.45,2943.45
08/06/1993,2969.77,2969.77,2969.77,2969.77
08/09/1993,2986.43,2986.43,2986.43,2986.43
08/10/1993,2971.65,2971.65,2971.65,2971.65
08/11/1993,3006.1,3006.1,3006.1,3006.1
08/12/1993,3009.1,3009.1,3009.1,3009.1
08/13/1993,3010.1,3010.1,3010.1,3010.1
08/16/1993,3008.27,3008.27,3008.27,3008.27
08/17/1993,3025.03,3025.03,3025.03,3025.03
08/18/1993,3073.65,3073.65,3073.65,3073.65
08/19/1993,3065.46,3065.46,3065.46,3065.46
08/20/1993,3057.59,3057.59,3057.59,3057.59
08/23/1993,3042.05,3042.05,3042.05,3042.05
08/24/1993,3049.35,3049.35,3049.35,3049.35
08/25/1993,3079.17,3079.17,3079.17,3079.17
08/26/1993,3079.23,3079.23,3079.23,3079.23
08/27/1993,3100.62,3100.62,3100.62,3100.62
08/31/1993,3099.97,3099.97,3099.97,3099.97
09/01/1993,3085.05,3085.05,3085.05,3085.05
09/02/1993,3072.57,3072.57,3072.57,3072.57
09/03/1993,3057.26,3057.26,3057.26,3057.26
09/06/1993,3059.01,3059.01,3059.01,3059.01
09/07/1993,3038.57,3038.57,3038.57,3038.57
09/08/1993,3035.39,3035.39,3035.39,3035.39
09/09/1993,3031.2,3031.2,3031.2,3031.2
09/10/1993,3036.99,3036.99,3036.99,3036.99
09/13/1993,3024.79,3024.79,3024.79,3024.79
09/14/1993,3028,3028,3028,3028
09/15/1993,2989.41,2989.41,2989.41,2989.41
09/16/1993,3003.88,3003.88,3003.88,3003.88
09/17/1993,3005.48,3005.48,3005.48,3005.48
09/20/1993,3004.53,3004.53,3004.53,3004.53
09/21/1993,3001.59,3001.59,3001.59,3001.59
09/22/1993,3007.53,3007.53,3007.53,3007.53
09/23/1993,3001.29,3001.29,3001.29,3001.29
09/24/1993,3005.2,3005.2,3005.2,3005.2
09/27/1993,3026.34,3026.34,3026.34,3026.34
09/29/1993,3030.07,3030.07,3030.07,3030.07
09/30/1993,3037.47,3037.47,3037.47,3037.47
10/01/1993,3039.27,3039.27,3039.27,3039.27
10/04/1993,3067.73,3067.73,3067.73,3067.73
10/05/1993,3085.24,3085.24,3085.24,3085.24
10/06/1993,3100.77,3100.77,3100.77,3100.77
10/07/1993,3092.4,3092.4,3092.4,3092.4
10/08/1993,3108.57,3108.57,3108.57,3108.57
10/11/1993,3102.21,3102.21,3102.21,3102.21
10/12/1993,3094.66,3094.66,3094.66,3094.66
10/13/1993,3080.88,3080.88,3080.88,3080.88
10/14/1993,3086.25,3086.25,3086.25,3086.25
10/15/1993,3120.84,3120.84,3120.84,3120.84
10/18/1993,3137.57,3137.57,3137.57,3137.57
10/19/1993,3129.57,3129.57,3129.57,3129.57
10/20/1993,3156.35,3156.35,3156.35,3156.35
10/21/1993,3188.26,3188.26,3188.26,3188.26
10/22/1993,3198.99,3198.99,3198.99,3198.99
10/25/1993,3184.78,3184.78,3184.78,3184.78
10/26/1993,3165.29,3165.29,3165.29,3165.29
10/27/1993,3154.29,3154.29,3154.29,3154.29
10/28/1993,3163.05,3163.05,3163.05,3163.05
10/29/1993,3170.98,3170.98,3170.98,3170.98
11/01/1993,3164.4,3164.4,3164.4,3164.4
11/02/1993,3164.08,3164.08,3164.08,3164.08
11/03/1993,3162.3,3162.3,3162.3,3162.3
11/04/1993,3148.98,3148.98,3148.98,3148.98
11/05/1993,3085.56,3085.56,3085.56,3085.56
11/08/1993,3077.62,3077.62,3077.62,3077.62
11/09/1993,3096.02,3096.02,3096.02,3096.02
11/10/1993,3098.48,3098.48,3098.48,3098.48
11/11/1993,3099.74,3099.74,3099.74,3099.74
11/12/1993,3099.07,3099.07,3099.07,3099.07
11/15/1993,3093.32,3093.32,3093.32,3093.32
11/16/1993,3097.55,3097.55,3097.55,3097.55
11/17/1993,3120.01,3120.01,3120.01,3120.01
11/18/1993,3125.51,3125.51,3125.51,3125.51
11/19/1993,3107.99,3107.99,3107.99,3107.99
11/23/1993,3069.29,3069.29,3069.29,3069.29
11/24/1993,3067.21,3067.21,3067.21,3067.21
11/25/1993,3067.21,3067.21,3067.21,3067.21
11/26/1993,3111.39,3111.39,3111.39,3111.39
11/29/1993,3135.84,3135.84,3135.84,3135.84
11/30/1993,3166.85,3166.85,3166.85,3166.85
12/01/1993,3233.16,3233.16,3233.16,3233.16
12/02/1993,3223.95,3223.95,3223.95,3223.95
12/03/1993,3234.23,3234.23,3234.23,3234.23
12/06/1993,3237.34,3237.34,3237.34,3237.34
12/09/1993,3271.55,3271.55,3271.55,3271.55
12/10/1993,3261.27,3261.27,3261.27,3261.27
12/13/1993,3254.55,3254.55,3254.55,3254.55
12/14/1993,3248.37,3248.37,3248.37,3248.37
12/15/1993,3278.78,3278.78,3278.78,3278.78
12/16/1993,3311.21,3311.21,3311.21,3311.21
12/17/1993,3337.1,3337.1,3337.1,3337.1
12/20/1993,3364.86,3364.86,3364.86,3364.86
12/21/1993,3342.36,3342.36,3342.36,3342.36
12/22/1993,3355.68,3355.68,3355.68,3355.68
12/23/1993,3396.51,3396.51,3396.51,3396.51
12/24/1993,3412.3,3412.3,3412.3,3412.3
12/29/1993,3461.96,3461.96,3461.96,3461.96
12/30/1993,3428.79,3428.79,3428.79,3428.79
12/31/1993,3418.42,3418.42,3418.42,3418.42
01/04/1994,3408.51,3408.51,3408.51,3408.51
01/06/1994,3403.04,3403.04,3403.04,3403.04
01/07/1994,3445.98,3445.98,3445.98,3445.98
01/10/1994,3440.58,3440.58,3440.58,3440.58
01/11/1994,3413.77,3413.77,3413.77,3413.77
01/12/1994,3372.02,3372.02,3372.02,3372.02
01/13/1994,3360.01,3360.01,3360.01,3360.01
01/14/1994,3400.56,3400.56,3400.56,3400.56
01/17/1994,3407.83,3407.83,3407.83,3407.83
01/18/1994,3437.01,3437.01,3437.01,3437.01
01/19/1994,3475.15,3475.15,3475.15,3475.15
01/20/1994,3469.99,3469.99,3469.99,3469.99
01/21/1994,3484.21,3484.21,3484.21,3484.21
01/24/1994,3481.42,3481.42,3481.42,3481.42
01/25/1994,3443.97,3443.97,3443.97,3443.97
01/26/1994,3436.08,3436.08,3436.08,3436.08
01/27/1994,3427.25,3427.25,3427.25,3427.25
01/28/1994,3447.45,3447.45,3447.45,3447.45
01/31/1994,3491.83,3491.83,3491.83,3491.83
02/01/1994,3481.47,3481.47,3481.47,3481.47
02/02/1994,3520.27,3520.27,3520.27,3520.27
02/03/1994,3491.48,3491.48,3491.48,3491.48
02/04/1994,3475.44,3475.44,3475.44,3475.44
02/07/1994,3419.07,3419.07,3419.07,3419.07
02/08/1994,3440.2,3440.2,3440.2,3440.2
02/09/1994,3429.11,3429.11,3429.11,3429.11
02/10/1994,3406.95,3406.95,3406.95,3406.95
02/11/1994,3378.87,3378.87,3378.87,3378.87
02/14/1994,3363.53,3363.53,3363.53,3363.53
02/15/1994,3393.16,3393.16,3393.16,3393.16
02/16/1994,3417.73,3417.73,3417.73,3417.73
02/17/1994,3425.3,3425.3,3425.3,3425.3
02/18/1994,3382.6,3382.6,3382.6,3382.6
02/21/1994,3350.3,3350.3,3350.3,3350.3
02/22/1994,3333.7,3333.7,3333.7,3333.7
02/23/1994,3341.9,3341.9,3341.9,3341.9
02/24/1994,3267.5,3267.5,3267.5,3267.5
02/25/1994,3281.2,3281.2,3281.2,3281.2
02/28/1994,3328.1,3328.1,3328.1,3328.1
03/01/1994,3270.6,3270.6,3270.6,3270.6
03/02/1994,3248.1,3248.1,3248.1,3248.1
03/03/1994,3246.5,3246.5,3246.5,3246.5
03/04/1994,3278,3278,3278,3278
03/07/1994,3305.9,3305.9,3305.9,3305.9
03/08/1994,3264.4,3264.4,3264.4,3264.4
03/09/1994,3246.7,3246.7,3246.7,3246.7
03/10/1994,3233.9,3233.9,3233.9,3233.9
03/11/1994,3191.9,3191.9,3191.9,3191.9
03/14/1994,3233.4,3233.4,3233.4,3233.4
03/15/1994,3267.4,3267.4,3267.4,3267.4
03/16/1994,3242.9,3242.9,3242.9,3242.9
03/17/1994,3255.7,3255.7,3255.7,3255.7
03/18/1994,3218.1,3218.1,3218.1,3218.1
03/21/1994,3198,3198,3198,3198
03/22/1994,3201.5,3201.5,3201.5,3201.5
03/23/1994,3155.3,3155.3,3155.3,3155.3
03/24/1994,3121.7,3121.7,3121.7,3121.7
03/25/1994,3129,3129,3129,3129
03/28/1994,3129.5,3129.5,3129.5,3129.5
03/29/1994,3123.4,3123.4,3123.4,3123.4
03/30/1994,3092.4,3092.4,3092.4,3092.4
03/31/1994,3086.4,3086.4,3086.4,3086.4
04/05/1994,3116.2,3116.2,3116.2,3116.2
04/06/1994,3131.5,3131.5,3131.5,3131.5
04/07/1994,3129,3129,3129,3129
04/08/1994,3120.8,3120.8,3120.8,3120.8
04/11/1994,3149.4,3149.4,3149.4,3149.4
04/12/1994,3159.1,3159.1,3159.1,3159.1
04/13/1994,3145.8,3145.8,3145.8,3145.8
04/14/1994,3131.7,3131.7,3131.7,3131.7
04/15/1994,3168.3,3168.3,3168.3,3168.3
04/18/1994,3138.2,3138.2,3138.2,3138.2
04/19/1994,3128,3128,3128,3128
04/20/1994,3098.3,3098.3,3098.3,3098.3
04/21/1994,3101.2,3101.2,3101.2,3101.2
04/22/1994,3133.7,3133.7,3133.7,3133.7
04/25/1994,3106.1,3106.1,3106.1,3106.1
04/26/1994,3125.3,3125.3,3125.3,3125.3
04/27/1994,3150,3150,3150,3150
04/28/1994,3129.9,3129.9,3129.9,3129.9
04/29/1994,3125.3,3125.3,3125.3,3125.3
05/03/1994,3100,3100,3100,3100
05/04/1994,3070.5,3070.5,3070.5,3070.5
05/05/1994,3106,3106,3106,3106
05/06/1994,3106,3106,3106,3106
05/09/1994,3097.8,3097.8,3097.8,3097.8
05/10/1994,3136.3,3136.3,3136.3,3136.3
05/11/1994,3130.5,3130.5,3130.5,3130.5
05/12/1994,3137.8,3137.8,3137.8,3137.8
05/13/1994,3119.2,3119.2,3119.2,3119.2
05/16/1994,3115.6,3115.6,3115.6,3115.6
05/17/1994,3123.5,3123.5,3123.5,3123.5
05/18/1994,3116.5,3116.5,3116.5,3116.5
05/19/1994,3122.8,3122.8,3122.8,3122.8
05/20/1994,3127.3,3127.3,3127.3,3127.3
05/23/1994,3108.4,3108.4,3108.4,3108.4
05/24/1994,3089.1,3089.1,3089.1,3089.1
