Date,Open,High,Low,Close,Adj Close,Volume
31/12/1986,900.820007,900.820007,900.820007,900.820007,900.820007,0
01/01/1987,900.820007,900.820007,900.820007,900.820007,900.820007,0
02/01/1987,891.780029,891.780029,891.780029,891.780029,891.780029,0
05/01/1987,898.330017,898.330017,898.330017,898.330017,898.330017,0
06/01/1987,902.320007,902.320007,902.320007,902.320007,902.320007,0
07/01/1987,899.150024,899.150024,899.150024,899.150024,899.150024,0
08/01/1987,887.369995,887.369995,887.369995,887.369995,887.369995,0
09/01/1987,868.309998,868.309998,868.309998,868.309998,868.309998,0
12/01/1987,879.409973,879.409973,879.409973,879.409973,879.409973,0
13/01/1987,872.73999,872.73999,872.73999,872.73999,872.73999,0
14/01/1987,876.390015,876.390015,876.390015,876.390015,876.390015,0
15/01/1987,884.369995,884.369995,884.369995,884.369995,884.369995,0
16/01/1987,883.780029,883.780029,883.780029,883.780029,883.780029,0
19/01/1987,876.150024,876.150024,876.150024,876.150024,876.150024,0
20/01/1987,875.099976,875.099976,875.099976,875.099976,875.099976,0
21/01/1987,872.469971,872.469971,872.469971,872.469971,872.469971,0
22/01/1987,876.690002,876.690002,876.690002,876.690002,876.690002,0
23/01/1987,883.619995,883.619995,883.619995,883.619995,883.619995,0
26/01/1987,870.960022,870.960022,870.960022,870.960022,870.960022,0
27/01/1987,868.190002,868.190002,868.190002,868.190002,868.190002,0
28/01/1987,838.599976,838.599976,838.599976,838.599976,838.599976,0
29/01/1987,847.380005,847.380005,847.380005,847.380005,847.380005,0
30/01/1987,859.080017,859.080017,859.080017,859.080017,859.080017,0
02/02/1987,849.030029,849.030029,849.030029,849.030029,849.030029,0
03/02/1987,839.599976,839.599976,839.599976,839.599976,839.599976,0
04/02/1987,838.530029,838.530029,838.530029,838.530029,838.530029,0
05/02/1987,833.030029,833.030029,833.030029,833.030029,833.030029,0
06/02/1987,842.22998,842.22998,842.22998,842.22998,842.22998,0
09/02/1987,844.72998,844.72998,844.72998,844.72998,844.72998,0
10/02/1987,837.909973,837.909973,837.909973,837.909973,837.909973,0
11/02/1987,837.559998,837.559998,837.559998,837.559998,837.559998,0
12/02/1987,840.530029,840.530029,840.530029,840.530029,840.530029,0
13/02/1987,841.539978,841.539978,841.539978,841.539978,841.539978,0
16/02/1987,844.109985,844.109985,844.109985,844.109985,844.109985,0
17/02/1987,833.809998,833.809998,833.809998,833.809998,833.809998,0
18/02/1987,834.150024,834.150024,834.150024,834.150024,834.150024,0
19/02/1987,844.070007,844.070007,844.070007,844.070007,844.070007,0
20/02/1987,845.109985,845.109985,845.109985,845.109985,845.109985,0
23/02/1987,839.359985,839.359985,839.359985,839.359985,839.359985,0
24/02/1987,837.900024,837.900024,837.900024,837.900024,837.900024,0
25/02/1987,833.390015,833.390015,833.390015,833.390015,833.390015,0
26/02/1987,838.22998,838.22998,838.22998,838.22998,838.22998,0
27/02/1987,840.969971,840.969971,840.969971,840.969971,840.969971,0
02/03/1987,842.700012,842.700012,842.700012,842.700012,842.700012,0
03/03/1987,836.219971,836.219971,836.219971,836.219971,836.219971,0
04/03/1987,848.780029,848.780029,848.780029,848.780029,848.780029,0
05/03/1987,855.039978,855.039978,855.039978,855.039978,855.039978,0
06/03/1987,854.820007,854.820007,854.820007,854.820007,854.820007,0
09/03/1987,856.929993,856.929993,856.929993,856.929993,856.929993,0
10/03/1987,850.98999,850.98999,850.98999,850.98999,850.98999,0
11/03/1987,844.780029,844.780029,844.780029,844.780029,844.780029,0
12/03/1987,851.619995,851.619995,851.619995,851.619995,851.619995,0
13/03/1987,855,855,855,855,855,0
16/03/1987,855.210022,855.210022,855.210022,855.210022,855.210022,0
17/03/1987,848.469971,848.469971,848.469971,848.469971,848.469971,0
18/03/1987,854.690002,854.690002,854.690002,854.690002,854.690002,0
19/03/1987,842.47998,842.47998,842.47998,842.47998,842.47998,0
20/03/1987,848.130005,848.130005,848.130005,848.130005,848.130005,0
23/03/1987,860.440002,860.440002,860.440002,860.440002,860.440002,0
24/03/1987,866.76001,866.76001,866.76001,866.76001,866.76001,0
25/03/1987,868.299988,868.299988,868.299988,868.299988,868.299988,0
26/03/1987,874.75,874.75,874.75,874.75,874.75,0
27/03/1987,882.890015,882.890015,882.890015,882.890015,882.890015,0
30/03/1987,877.299988,877.299988,877.299988,877.299988,877.299988,0
31/03/1987,869.440002,869.440002,869.440002,869.440002,869.440002,0
01/04/1987,883.950012,883.950012,883.950012,883.950012,883.950012,0
02/04/1987,888.390015,888.390015,888.390015,888.390015,888.390015,0
03/04/1987,888.969971,888.969971,888.969971,888.969971,888.969971,0
06/04/1987,900.789978,900.789978,900.789978,900.789978,900.789978,0
07/04/1987,896.330017,896.330017,896.330017,896.330017,896.330017,0
08/04/1987,895.419983,895.419983,895.419983,895.419983,895.419983,0
09/04/1987,895.619995,895.619995,895.619995,895.619995,895.619995,0
10/04/1987,884.609985,884.609985,884.609985,884.609985,884.609985,0
13/04/1987,875.190002,875.190002,875.190002,875.190002,875.190002,0
14/04/1987,881,881,881,881,881,0
15/04/1987,888.710022,888.710022,888.710022,888.710022,888.710022,0
16/04/1987,895.47998,895.47998,895.47998,895.47998,895.47998,0
17/04/1987,896.059998,896.059998,896.059998,896.059998,896.059998,0
20/04/1987,893.330017,893.330017,893.330017,893.330017,893.330017,0
21/04/1987,889.549988,889.549988,889.549988,889.549988,889.549988,0
22/04/1987,900.5,900.5,900.5,900.5,900.5,0
23/04/1987,896.530029,896.530029,896.530029,896.530029,896.530029,0
24/04/1987,890.619995,890.619995,890.619995,890.619995,890.619995,0
27/04/1987,871.690002,871.690002,871.690002,871.690002,871.690002,0
28/04/1987,879.070007,879.070007,879.070007,879.070007,879.070007,0
29/04/1987,884.369995,884.369995,884.369995,884.369995,884.369995,0
30/04/1987,881.460022,881.460022,881.460022,881.460022,881.460022,0
01/05/1987,883.320007,883.320007,883.320007,883.320007,883.320007,0
04/05/1987,880.309998,880.309998,880.309998,880.309998,880.309998,0
05/05/1987,875.429993,875.429993,875.429993,875.429993,875.429993,0
06/05/1987,880.909973,880.909973,880.909973,880.909973,880.909973,0
07/05/1987,882.840027,882.840027,882.840027,882.840027,882.840027,0
08/05/1987,882.700012,882.700012,882.700012,882.700012,882.700012,0
11/05/1987,887.340027,887.340027,887.340027,887.340027,887.340027,0
12/05/1987,879.780029,879.780029,879.780029,879.780029,879.780029,0
13/05/1987,882.77002,882.77002,882.77002,882.77002,882.77002,0
14/05/1987,883.109985,883.109985,883.109985,883.109985,883.109985,0
15/05/1987,866.109985,866.109985,866.109985,866.109985,866.109985,0
18/05/1987,868.849976,868.849976,868.849976,868.849976,868.849976,0
19/05/1987,865.650024,865.650024,865.650024,865.650024,865.650024,0
20/05/1987,856.080017,856.080017,856.080017,856.080017,856.080017,0
21/05/1987,854.02002,854.02002,854.02002,854.02002,854.02002,0
22/05/1987,857.630005,857.630005,857.630005,857.630005,857.630005,0
25/05/1987,856.950012,856.950012,856.950012,856.950012,856.950012,0
26/05/1987,864.830017,864.830017,864.830017,864.830017,864.830017,0
27/05/1987,869.48999,869.48999,869.48999,869.48999,869.48999,0
28/05/1987,869.289978,869.289978,869.289978,869.289978,869.289978,0
29/05/1987,866.409973,866.409973,866.409973,866.409973,866.409973,0
01/06/1987,872.52002,872.52002,872.52002,872.52002,872.52002,0
02/06/1987,863.109985,863.109985,863.109985,863.109985,863.109985,0
03/06/1987,864.570007,864.570007,864.570007,864.570007,864.570007,0
04/06/1987,869.419983,869.419983,869.419983,869.419983,869.419983,0
05/06/1987,864.75,864.75,864.75,864.75,864.75,0
08/06/1987,866.080017,866.080017,866.080017,866.080017,866.080017,0
09/06/1987,863.169983,863.169983,863.169983,863.169983,863.169983,0
