6.562783687381225084e-01,6.461664409299203715e-01,6.506964247606468188e-01,6.492314616391917648e-01,6.467262539321743109e-01,6.501296369985750667e-01,6.505549414698537092e-01,6.539087504445530996e-01,6.359827938598971997e-01,6.496339853464878633e-01,6.438272127001173351e-01,6.452651826519262279e-01
6.498795876596756838e-01,6.455559386179836601e-01,6.513480789677655869e-01,6.573422699560231841e-01,6.496660867510706261e-01,6.454470289786644610e-01,6.570764843819587586e-01,6.528604499363600544e-01,6.431127912000569324e-01,6.390305722684029854e-01,6.345970935308178351e-01,6.463696421539496528e-01
6.455831515483212435e-01,6.586541478511664938e-01,6.460076400696771470e-01,6.469004465419617711e-01,6.505082062773455132e-01,6.459534342100171633e-01,6.340128141038376963e-01,6.462921391126316140e-01,6.435255803368098437e-01,6.375300361705280583e-01,6.428355698531420526e-01,6.437894974269797732e-01
6.488802916678181321e-01,6.555490745740593095e-01,6.431935075324186624e-01,6.415121030456882867e-01,6.522134217092953046e-01,6.537412537600534312e-01,6.544414952807905417e-01,6.511782320170793614e-01,6.497502505463912392e-01,6.420217846531274253e-01,6.439914156178895288e-01,6.317810462448606446e-01
6.575502321784554294e-01,6.495501387666127169e-01,6.449937136922880843e-01,6.434994114542017529e-01,6.456196055446961068e-01,6.448477908549865578e-01,6.617765686509259337e-01,6.398409574289832813e-01,6.462190651916577266e-01,6.430450027074717800e-01,6.322456971893586353e-01,6.283172884470576980e-01
6.573526778496538991e-01,6.547543137298640348e-01,6.482404420669455325e-01,6.445778203412003693e-01,6.516659281269808757e-01,6.470639687522169448e-01,6.337603667039923838e-01,6.383843278912691988e-01,6.424270278038676230e-01,6.421633971833674570e-01,6.367152614967656055e-01,6.262216855240774205e-01
6.505026168372314288e-01,6.562651570156499137e-01,6.530871335477431705e-01,6.448111259847625343e-01,6.517822972350948429e-01,6.500457667545156415e-01,6.452807003914443618e-01,6.418534195298309930e-01,6.332023171141838436e-01,6.310659787442314261e-01,6.266858840246227746e-01,6.367745527748940315e-01
6.597856244981122886e-01,6.546627201002243046e-01,6.496472868551268487e-01,6.463868918636594962e-01,6.508876573781183783e-01,6.347751381288317951e-01,6.458227202250449439e-01,6.361782442444855468e-01,6.276853746313159066e-01,6.348230007912153416e-01,6.219109283050254788e-01,6.324452155718978119e-01
6.543337541091565068e-01,6.477089900048869087e-01,6.462581177373214469e-01,6.491060835787820782e-01,6.440468611193393977e-01,6.308940979663238968e-01,6.341826920786213240e-01,6.387064585049712084e-01,6.293097145435079254e-01,6.325122363733309827e-01,6.147273347624591100e-01,6.171585795146941056e-01
6.589859616733559911e-01,6.521213262656195830e-01,6.518217666099975771e-01,6.452823095342067328e-01,6.454863788637239530e-01,6.383775860312385086e-01,6.419037293783715903e-01,6.308195521750292745e-01,6.232715106049961928e-01,6.311795360601607507e-01,6.256466176218032915e-01,6.148717237007774727e-01
