5.859409179326646733e-01,6.041428028142612483e-01,6.092858351230457936e-01,6.056739086525737559e-01
6.074382448047683791e-01,6.263383849982928631e-01,6.150734367316431639e-01,5.840752053352942230e-01
6.256652923917939146e-01,6.321555779306659018e-01,5.974734611772466453e-01,6.125050592757080858e-01
6.036189752271636788e-01,6.108967506293917493e-01,5.754075601997590272e-01,5.897096848891898446e-01
5.693409664567683492e-01,5.901472742702144059e-01,6.057855412155884745e-01,5.732377229052585399e-01
6.153899110808348505e-01,6.017656052895169472e-01,5.833346643351141614e-01,5.984219279762881261e-01
6.097748907472197999e-01,5.752870749468494971e-01,6.044245943644173114e-01,6.080490763420545175e-01
6.012858675921161078e-01,6.060118782260046633e-01,6.088477749069650669e-01,6.015690485610423188e-01
6.006854006945386848e-01,6.131690910063865019e-01,6.052660254555743968e-01,5.917316450927010418e-01
6.034339554390335536e-01,6.166073772337608006e-01,5.965055847990408111e-01,5.818767823054690203e-01
5.845863698344981874e-01,5.540374609562949137e-01,5.790702288302822520e-01,6.001565408921309963e-01
5.771242323444162325e-01,6.015882656421228658e-01,6.090093487638061909e-01,6.109425574314180096e-01
5.821018537095798973e-01,5.991759304809413100e-01,6.132189968949176562e-01,5.890093959925954969e-01
6.212090378515653377e-01,5.709860460883948718e-01,5.811644489590400697e-01,6.169010512918610134e-01
5.873774451111577477e-01,5.986847900616577567e-01,6.047301205125270585e-01,6.033765796119705538e-01
6.162784138340720030e-01,5.999724700729823779e-01,5.618288436720548784e-01,6.130444234204285303e-01
6.064569163035649080e-01,5.911372575792845918e-01,5.435972541268302427e-01,5.847307260276529695e-01
6.053403074604075673e-01,5.685814520476030198e-01,6.020285969249142832e-01,5.939321673476578578e-01
5.888408941940326269e-01,5.761072137869628351e-01,5.751835850226638680e-01,6.061630930570354181e-01
5.860116599529512360e-01,6.019597266569692851e-01,5.958773596634769909e-01,5.861603503221144429e-01
