6.273203592398192141e-01,6.546819545850277589e-01,6.219017265188101495e-01,6.171793974892918477e-01,6.261954277831057736e-01,6.436660358829333628e-01,6.264801698262242313e-01,6.129206405947432712e-01,5.858570507673925842e-01,6.149814641036844831e-01,5.941455356758252870e-01
6.337327862261470379e-01,6.277184336772818618e-01,6.137470916804925736e-01,6.253960297531953039e-01,6.272458168929004874e-01,6.223055592592039442e-01,6.180472414951778681e-01,6.112343560291816358e-01,6.134719886942362477e-01,6.106133813193352911e-01,6.108937938317621219e-01
6.443339495987767673e-01,6.258859497181010756e-01,6.369064771527405133e-01,6.310103335287969850e-01,6.493481649891832408e-01,6.210950643448326369e-01,6.415023225799826312e-01,6.159554646112956888e-01,6.376023413645021121e-01,6.173435469457824176e-01,6.263788145424431519e-01
6.349843348068597848e-01,6.374531220290002853e-01,6.286333973172225642e-01,6.373904135736163656e-01,6.209422702007710848e-01,6.272336923225816374e-01,6.195517882262000509e-01,6.339437360926014620e-01,6.326854361520432013e-01,6.062741930936880186e-01,6.408584334051216080e-01
6.428496595221628862e-01,6.240716687093129655e-01,6.408200585405486871e-01,6.252489229646344127e-01,6.361653403396736461e-01,6.316524632040940723e-01,6.138162653036521865e-01,6.128253211429310898e-01,6.052676333536159969e-01,6.208739347250255003e-01,6.274623736281406128e-01
6.387164304526206093e-01,6.273993241811501864e-01,6.332694078393226178e-01,6.195880022883862859e-01,6.093273695160298375e-01,6.237986397921602144e-01,6.325396834667488255e-01,6.279302158796273847e-01,5.926685053423070837e-01,6.131918605392305821e-01,6.103191010411024298e-01
6.332107279453059734e-01,6.425530955472080752e-01,6.292169653644953398e-01,6.514539691626273221e-01,6.315766411526049229e-01,6.218784343043816110e-01,6.378987844880598113e-01,6.137105248552804371e-01,6.158538343127503145e-01,6.169916660057418456e-01,6.183813526450261389e-01
6.355726125501945933e-01,6.446559277872254690e-01,6.400106222035342185e-01,6.383166525148700199e-01,6.342708718027803005e-01,6.134205644364396637e-01,6.443636821622149569e-01,5.954829597990557444e-01,6.362528782551596374e-01,6.200852521635560333e-01,6.008061710089471763e-01
6.550064168035081291e-01,6.500478302925400964e-01,6.240551702235928033e-01,6.250191528763384685e-01,6.268825210130930525e-01,5.955726291705099040e-01,6.255627249494762898e-01,6.129400769861044207e-01,6.066924411587971688e-01,5.954942326649066420e-01,6.185434560044877905e-01
6.392448083460638975e-01,6.343060397827554597e-01,6.268111066986654656e-01,6.272471027679020761e-01,6.247297784617786842e-01,6.222632024098120329e-01,6.238805320715111735e-01,6.016571614177294025e-01,6.027682687655603333e-01,6.217364225046100312e-01,6.032689352081941347e-01
6.410497381291648811e-01,6.455153261634086759e-01,6.370392117487321260e-01,6.298776424110633654e-01,6.178341276956407224e-01,6.151771489005622984e-01,6.390659591991896260e-01,6.336274091872992065e-01,6.201546246546220109e-01,5.973183039829328411e-01,6.216014388426640558e-01
