6.275317136589559919e-01,6.033588892981709417e-01,6.487532253964916062e-01,6.484543898583481347e-01,6.343896821733894242e-01
5.790890183271998337e-01,6.068231286908758459e-01,6.112795731147857570e-01,6.441184430440062281e-01,6.495595713635365920e-01
5.576633716968503185e-01,6.044429923503613633e-01,6.593372580785692438e-01,6.512113738262348406e-01,6.467436761719892457e-01
6.346444433403386487e-01,6.202822131007927897e-01,6.488457300129263361e-01,6.244014361996990115e-01,6.570296512222837393e-01
5.772819072172403754e-01,6.100932292857420558e-01,6.064089989756938914e-01,6.336940186674956399e-01,6.409433273508685636e-01
5.893474742346305195e-01,6.123990831475459862e-01,6.435221153665772187e-01,6.276891646541696845e-01,6.445872734011890426e-01
6.280819957730894298e-01,6.417812319872835403e-01,6.504702549632089825e-01,6.486168512979177958e-01,6.617969589690603227e-01
5.917336206519333563e-01,6.387182686407218979e-01,6.155330208085447730e-01,6.300607953091416080e-01,6.418064140867458800e-01
5.754257967161330312e-01,6.074352275700414250e-01,6.062690104793928558e-01,6.432597979220597839e-01,6.625806856153961810e-01
5.879442474107798855e-01,6.016127075525272705e-01,6.414717420833674355e-01,6.547335698970208062e-01,6.663725916630196533e-01
