DATE,GB_TRADE_BLNC,GB_GDP,GB_INFL,GB_INTR,GB_UNEMP,CAC,DAX,HKSE,NIKKEI,S&P500,STOXX,FTSE
2007-02-03,-0.0025739057523948006,7.933689452728487e-05,0.00263504763800515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-04,-0.0025805478430087625,7.933060068389397e-05,0.0026281224062695285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-05,-0.002587224302817326,7.932430783891276e-05,0.0026212334798741965,0.0,0.0,0.0006708788033306101,-0.0017005614853011775,-0.005268778358726189,-0.01159643368617061,-0.0009670752071885835,-0.00021758211827860308,0.0011085773338533889
2007-02-06,-0.0025939353992754377,7.931801599206367e-05,0.002614380574070707,0.0,0.0,-0.0007624793591028828,0.00023856939720856563,0.009709446509841069,0.003571550808770474,0.000697764098990139,0.001418282295071599,0.0044850914559085575
2007-02-07,-0.002600681402620264,7.931172514349938e-05,0.002607563407080904,0.0,0.0,0.004608219472735514,0.00578046882663541,0.001184966871932036,-0.006601855089379272,0.0013940692701958635,0.004146338956315429,0.003649007650768893
2007-02-08,-0.002607462585907383,7.930543529248435e-05,0.0026007817000573974,0.0,0.0,-0.006667788300669192,-0.005630708385924943,0.002673509994871648,9.26164074271929e-06,-0.0011799630489223167,-0.005931407355483961,-0.003633250562048357
2007-02-09,-0.0026142792250483105,7.929914643926839e-05,0.002594035177046594,0.0,0.0,0.004816205812305546,0.004986996461249893,-0.002771644765151293,0.012176531308754901,-0.0071023761113719885,0.005267864474010842,0.00571914954847913
2007-02-10,-0.002621131598846027,7.92928585832825e-05,0.0025873235649509496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-11,-0.0026280199890358347,7.928657172422138e-05,0.0025806465934915535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-12,-0.0026349446803219934,7.928028586226543e-05,0.0025740039951729354,0.0,0.0,-0.008556560149714107,-0.00750294978960897,-0.004082768699397887,0.0,-0.003266712462151322,-0.008128092229009287,-0.004601030391683192
2007-02-13,-0.0026419059604159134,7.927400099681792e-05,0.002567395505245762,0.0,0.0,0.00684049225454153,0.0052185064761003375,-0.022648122400360626,0.006668582298676423,0.007568774976954407,0.005957676395643791,0.0044443470640354865
2007-02-14,-0.0026489041200812302,7.92677171277123e-05,0.0025608208616736405,0.0,0.0,0.007564534532312303,0.009503226988428315,0.0038500790056892886,0.007417406812042837,0.007615012018947376,0.006581277248667222,0.006154826896634685
2007-02-15,-0.0026559394531655567,7.926143425476817e-05,0.002554279805096815,0.0,0.0,-0.0008666170621304259,-0.00036782985028194215,0.016124188783367632,0.008111706011473124,0.0010370556602130598,-0.002085626721807496,0.0018826097590344537
2007-02-16,-0.0026630122566513315,7.925515237772185e-05,0.002547772078798638,0.0,0.0,-0.00127509891788187,-0.0002228122375517172,0.0014348271423600956,-0.0012065050451047221,-0.000872161682331396,-0.0025230613408778607,-0.0021473928331554315
2007-02-17,-0.0026701228306893476,7.924887149619864e-05,0.0025412974286725953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-18,-0.0026772714786469365,7.924259161036507e-05,0.002534855603188002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-19,-0.0026844585071483795,7.923631271958276e-05,0.002528446353358693,0.0,0.0,0.0045942511602958674,0.004304357102506318,0.0,0.0035983912162414478,0.0,0.0044235206288805035,0.003871303585693181
2007-02-20,-0.0026916842261184293,7.923003482365742e-05,0.002522069432709828,0.0,0.0,-0.00461869301042149,-0.0005969828258997056,0.0,-5.4109498380555676e-05,0.002840278024377918,-0.0037410057807312908,-0.00499351570801676
2007-02-21,-0.0026989489488293827,7.922375792265846e-05,0.0025157245972473596,0.0,0.0,-0.003311734972943306,-0.005924796204542893,0.004051976589663053,-0.001445273289222615,-0.0014054380891897478,-0.004191957722331677,-0.008645722405554557
2007-02-22,-0.002706252991943048,7.921748201604462e-05,0.0025094116054257265,0.0,0.0,0.002332804812034045,0.004609267934917893,0.007612582418413338,0.010858922148117428,-0.0008579243533005099,0.0021146951472811454,0.0037368547174476685
2007-02-23,-0.002713596675559149,7.921120710355223e-05,0.0025031302181185433,0.0,0.0,0.001491569114273547,0.0026993686045628795,-0.0047002980490900015,0.004387719550991348,-0.003570039317195184,0.001062803005095106,0.003223184665525819
2007-02-24,-0.0027209803232617347,7.920493318529231e-05,0.0024968801985871814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-25,-0.0027284042621660287,7.919866026070976e-05,0.002490661312451792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-26,-0.002735868822966392,7.919238832963804e-05,0.0024844733276619957,0.0,0.0,0.008042639051790354,0.004994210335957594,-0.009883785005601886,0.0014795001868865565,-0.0012548930406455772,0.006181900792859907,0.005172882010625185
2007-02-27,-0.0027433743399876143,7.918611739188286e-05,0.002478316014467019,0.0,0.0,-0.030687100611433732,-0.030035671828491317,-0.01771404478825961,-0.005252742453862952,-0.03534266080692017,-0.027428261360127965,-0.02336437329808111
2007-02-28,-0.0027509211512315446,7.917984744705564e-05,0.0024721891453890477,0.0,0.0,-0.012980316490789248,-0.015398792533172778,-0.024944364735388025,-0.028878964526596385,0.005545484791935229,-0.016888108496658533,-0.018398926414794348
