6.855479888330892058e-01,6.568189369552761558e-01,6.522383891280254531e-01,6.387285613095302628e-01,6.433464941310337304e-01,6.407676615171078449e-01
6.752470135814537811e-01,6.479729207325788387e-01,6.154269277808662730e-01,6.307565543183486501e-01,6.285443525629968997e-01,6.145782250657003676e-01
6.855871014916978812e-01,6.336207348253136695e-01,6.289798993161561658e-01,6.181934480182074143e-01,6.278008182006675764e-01,6.222188610551115939e-01
6.647134912125469697e-01,6.284195906112468588e-01,6.393673475763915759e-01,6.240694284076473419e-01,6.272302938280773787e-01,6.143001948674374768e-01
6.538013156243742685e-01,6.287795958658070061e-01,6.349247930836450227e-01,6.342560500205782770e-01,6.266006668818737690e-01,5.992694774117265366e-01
6.554150749568226075e-01,6.389037498085047284e-01,6.177145250063758031e-01,6.148620595217468843e-01,5.995684221639236977e-01,6.039226396702067623e-01
6.661871330724934426e-01,6.258447196294409931e-01,6.305011783974897588e-01,6.178985198035010784e-01,6.162164459991114063e-01,5.975597789042530472e-01
6.532676170630007384e-01,6.159785000053543680e-01,6.282928219986128049e-01,6.359848791468550866e-01,6.280041465732240091e-01,5.998203060052569313e-01
6.472583847902396714e-01,6.139874140080497922e-01,6.189515337091584524e-01,6.040766116497515714e-01,5.916392172617535028e-01,5.921614081824089215e-01
6.462329409992570994e-01,6.288693396657484280e-01,6.182177529582786324e-01,6.045984046133386913e-01,6.043275832376873158e-01,5.998549464897866557e-01
6.411340045249379616e-01,6.111180094421690967e-01,6.179966594287427117e-01,6.150244441062524547e-01,6.067223230095998288e-01,5.956498388987661041e-01
6.367556237526459384e-01,6.137437311116480387e-01,6.212263662656521968e-01,6.035055191837592758e-01,5.942987417666154570e-01,5.927873879173511940e-01
