6.21E-01,6.26E-01,6.25E-01,6.17E-01,6.15E-01,6.10E-01,6.09E-01,6.16E-01
6.17E-01,6.29E-01,6.25E-01,6.22E-01,6.18E-01,6.19E-01,6.10E-01,6.08E-01
6.21E-01,6.20E-01,6.25E-01,6.24E-01,6.24E-01,6.16E-01,6.16E-01,6.10E-01
6.18E-01,6.25E-01,6.21E-01,6.20E-01,6.23E-01,6.12E-01,6.22E-01,6.08E-01
6.15E-01,6.27E-01,6.26E-01,6.25E-01,6.21E-01,6.20E-01,6.11E-01,6.12E-01
6.28E-01,6.22E-01,6.25E-01,6.27E-01,6.20E-01,6.21E-01,6.09E-01,6.13E-01
6.11E-01,6.34E-01,6.26E-01,6.17E-01,6.18E-01,6.20E-01,6.13E-01,6.16E-01
6.21E-01,6.21E-01,6.27E-01,6.23E-01,6.21E-01,6.16E-01,6.06E-01,6.03E-01
6.25E-01,6.29E-01,6.25E-01,6.25E-01,6.21E-01,6.13E-01,6.12E-01,6.14E-01
6.25E-01,6.24E-01,6.24E-01,6.19E-01,6.18E-01,6.13E-01,6.10E-01,6.06E-01
6.25E-01,6.26E-01,6.21E-01,6.24E-01,6.19E-01,6.20E-01,6.09E-01,6.10E-01
6.15E-01,6.30E-01,6.27E-01,6.24E-01,6.15E-01,6.12E-01,6.15E-01,6.11E-01
6.28E-01,6.30E-01,6.28E-01,6.21E-01,6.14E-01,6.16E-01,6.07E-01,6.07E-01
6.22E-01,6.32E-01,6.22E-01,6.23E-01,6.18E-01,6.20E-01,6.18E-01,6.10E-01
6.24E-01,6.25E-01,6.26E-01,6.22E-01,6.15E-01,6.17E-01,6.07E-01,6.10E-01
6.20E-01,6.30E-01,6.24E-01,6.27E-01,6.22E-01,6.13E-01,6.14E-01,6.07E-01
6.23E-01,6.28E-01,6.26E-01,6.28E-01,6.14E-01,6.10E-01,6.14E-01,6.15E-01
6.21E-01,6.22E-01,6.27E-01,6.17E-01,6.21E-01,6.14E-01,6.16E-01,6.11E-01
6.26E-01,6.27E-01,6.26E-01,6.26E-01,6.16E-01,6.09E-01,6.17E-01,6.16E-01
6.26E-01,6.27E-01,6.26E-01,6.20E-01,6.24E-01,6.15E-01,6.17E-01,6.12E-01
6.23E-01,6.28E-01,6.24E-01,6.24E-01,6.16E-01,6.12E-01,6.00E-01,6.12E-01
